student_id,topic,field_of_interest,quiz_score,concept_score,practical_score,confidence,prior_experience,hours_per_week,preferred_content,learning_style,difficulty_preference,completion_rate,avg_session_minutes,quiz_attempts,needs_revision,topic_prerequisite_score,interest_score,knowledge_gap,recommended_action,resource_type,recommendation_priority
4262,Classification,Machine Learning,25.55,7.11,37.28,28.68,Intermediate,14.16,Documentation,Hands-on,Intermediate,52.47,25.76,4,1,34.99,34.72,77.64,Learn Fundamentals,Article,High
4147,Data Preprocessing,Machine Learning,29.39,25.1,8.68,26.89,Beginner,5.6,Practice Questions,Hands-on,Intermediate,22.39,26.27,4,1,22.93,16.98,76.04,Learn Fundamentals,Article,High
1713,React,Web Development,8.27,22.98,35.32,45.36,Intermediate,9.31,Video,Hands-on,Adaptive,29.14,62.92,6,1,13.58,46.02,81.91,Learn Fundamentals,Article,High
1218,Classification,Machine Learning,0.0,33.32,38.2,39.93,Beginner,3.74,Practice Questions,Visual,Advanced,26.93,26.8,7,1,28.04,38.3,82.36,Learn Fundamentals,Video,High
1970,Classification,Machine Learning,35.29,0.0,5.81,6.49,None,5.47,Article,Visual,Beginner,21.48,16.4,4,1,0.0,14.67,81.19,Learn Fundamentals,Video,High
860,Overfitting & Underfitting,Machine Learning,45.48,43.96,34.28,37.51,None,1.0,Video,Reading,Advanced,1.82,16.48,3,1,61.62,5.45,57.21,Revision,Interactive Course,Medium
3481,Decision Trees,Machine Learning,40.44,42.28,42.43,56.64,Beginner,10.76,Article,Visual,Intermediate,31.54,35.95,4,1,37.45,31.19,58.61,Learn Fundamentals,Video,High
4200,Logistic Regression,Machine Learning,14.77,7.68,0.0,26.25,None,2.75,Article,Hands-on,Intermediate,45.54,30.47,6,1,3.14,44.02,90.31,Learn Fundamentals,Article,High
2039,Deployment,DevOps/Cloud,12.23,44.36,26.16,24.59,Some Experience,14.35,Video,Hands-on,Intermediate,51.87,31.33,5,1,26.49,24.65,75.35,Learn Fundamentals,Article,High
4944,EDA,Data Science,41.85,20.62,36.53,13.07,Some Experience,14.9,Video,Mixed,Intermediate,12.6,18.86,4,1,43.96,17.03,65.59,Revision,Video,Medium
3113,Classification,Machine Learning,40.58,41.73,20.26,16.25,Beginner,6.91,Practice Questions,Hands-on,Adaptive,24.97,44.7,3,1,36.89,4.48,63.14,Learn Fundamentals,Article,High
2811,Deployment,DevOps/Cloud,41.27,22.51,85.83,14.35,Advanced,16.15,Video,Visual,Intermediate,29.72,33.54,5,1,17.59,25.8,55.45,Learn Fundamentals,Video,High
757,React,Web Development,40.32,14.86,15.11,28.2,Beginner,7.62,Practice Questions,Mixed,Adaptive,12.76,40.19,2,1,11.44,43.71,72.36,Learn Fundamentals,Video,High
1936,React,Web Development,0.42,7.71,20.03,38.32,Intermediate,10.24,Practice Questions,Mixed,Beginner,2.85,41.81,6,1,15.82,30.23,93.47,Learn Fundamentals,Video,High
4646,ML Fundamentals,Machine Learning,,51.43,32.46,42.19,None,7.48,Video,Mixed,Adaptive,30.17,35.48,4,1,30.37,6.59,61.99,Learn Fundamentals,Video,High
1437,EDA,Data Science,14.85,28.22,16.32,55.3,Some Experience,11.79,Video,Reading,Beginner,18.08,25.3,5,1,41.38,33.06,80.85,Learn Fundamentals,Article,High
1864,EDA,Data Science,31.82,84.93,27.63,30.82,Beginner,2.72,Practice Questions,Hands-on,Adaptive,23.98,24.54,2,1,55.36,19.01,53.09,Learn Fundamentals,Article,High
4738,React,Web Development,29.02,0.0,15.34,36.49,Some Experience,4.38,Project,Reading,Advanced,24.36,41.43,5,1,9.81,38.05,82.42,Learn Fundamentals,Article,High
4304,Deployment,DevOps/Cloud,0.0,0.0,14.0,11.63,Intermediate,11.42,Interactive Course,Visual,Beginner,39.67,30.19,5,1,0.0,14.32,97.2,Learn Fundamentals,Video,High
2229,Clustering,Machine Learning,23.36,0.0,0.0,0.0,Beginner,3.18,Project,Visual,Beginner,17.94,21.14,4,1,36.83,21.67,88.32,Learn Fundamentals,Video,High
1381,JavaScript,Web Development,48.41,58.0,24.77,30.93,Some Experience,6.4,Project,Mixed,Intermediate,18.57,36.78,4,1,43.24,18.56,53.44,Revision,Interactive Course,Medium
2658,Model Evaluation,Machine Learning,26.07,14.54,20.95,40.34,Some Experience,9.03,Video,Mixed,Adaptive,49.47,32.86,4,1,0.0,23.6,78.42,Learn Fundamentals,Video,High
4517,Decision Trees,Machine Learning,47.21,61.88,49.9,44.58,Some Experience,4.41,Project,Reading,Adaptive,8.45,19.78,2,1,49.2,12.89,47.85,Revision,Video,Medium
1609,Logistic Regression,Machine Learning,23.3,19.85,27.13,28.93,None,21.7,Practice Questions,Hands-on,Adaptive,39.63,34.46,5,1,10.89,36.43,76.97,Learn Fundamentals,Article,High
859,Model Evaluation,Machine Learning,26.91,75.71,14.46,39.11,Some Experience,4.88,Interactive Course,Visual,Beginner,50.49,49.9,6,1,48.1,29.95,60.94,Learn Fundamentals,Video,High
1964,FastAPI,Backend Development,10.75,5.78,5.29,38.25,Advanced,2.22,Interactive Course,Mixed,Intermediate,29.24,54.53,7,1,11.01,45.74,91.83,Learn Fundamentals,Video,High
2559,Model Evaluation,Machine Learning,15.33,10.0,46.37,29.53,Some Experience,12.08,Documentation,Visual,Beginner,22.34,43.15,6,1,41.3,41.49,80.06,Learn Fundamentals,Video,High
4365,HTML/CSS,Web Development,26.39,0.0,50.23,22.42,None,8.49,Article,Hands-on,Intermediate,22.86,39.71,5,1,43.06,40.61,76.76,Learn Fundamentals,Article,High
4288,HTML/CSS,Web Development,57.19,29.16,57.02,33.93,Intermediate,1.0,Video,Hands-on,Adaptive,18.45,30.18,3,1,59.89,22.56,51.25,Revision,Video,Medium
592,Deployment,DevOps/Cloud,14.76,36.84,23.94,51.97,Beginner,7.54,Video,Reading,Advanced,18.01,41.83,5,1,31.47,27.6,76.78,Learn Fundamentals,Article,High
1397,Logistic Regression,Machine Learning,23.75,52.61,23.13,47.8,Beginner,2.2,Video,Hands-on,Advanced,34.61,34.15,5,1,45.89,31.94,67.72,Learn Fundamentals,Article,High
1968,SQL/Databases,Backend Development,5.71,28.67,22.55,34.36,Beginner,6.82,Interactive Course,Hands-on,Beginner,29.52,20.45,6,1,0.0,12.95,84.04,Learn Fundamentals,Article,High
4365,JavaScript,Web Development,0.0,27.24,18.41,16.98,None,8.49,Article,Hands-on,Intermediate,24.54,39.9,5,1,25.86,36.12,88.15,Learn Fundamentals,Article,High
4348,REST APIs,Backend Development,15.33,6.32,11.59,10.79,Intermediate,10.36,Video,Reading,Adaptive,22.62,18.71,5,1,18.04,6.7,88.12,Learn Fundamentals,Article,High
3103,REST APIs,Backend Development,18.2,11.57,2.49,34.25,Intermediate,1.71,Documentation,Visual,Adaptive,21.72,32.15,5,1,11.72,12.65,86.93,Learn Fundamentals,Video,High
1230,React,Web Development,37.05,70.87,63.45,47.51,Some Experience,7.76,Video,Hands-on,Adaptive,20.01,19.42,4,1,43.99,30.57,47.53,Learn Fundamentals,Article,High
2100,Clustering,Machine Learning,61.36,40.32,27.65,52.59,Beginner,5.24,Practice Questions,Visual,Adaptive,21.67,31.06,3,1,22.68,28.67,51.69,Learn Fundamentals,Video,High
4892,ML Fundamentals,Machine Learning,36.7,41.38,15.9,30.2,Intermediate,4.2,Project,Visual,Beginner,6.5,25.77,4,1,35.49,13.59,66.05,Learn Fundamentals,Video,High
4376,JavaScript,Web Development,35.78,57.67,41.89,58.85,Some Experience,13.96,Documentation,Hands-on,Intermediate,37.64,35.26,5,1,45.07,44.26,56.43,Learn Fundamentals,Article,High
1551,EDA,Data Science,67.07,60.0,60.62,37.56,None,5.42,Video,Hands-on,Adaptive,35.79,47.89,3,0,64.5,25.6,36.34,Revision,Interactive Course,Medium
418,Overfitting & Underfitting,Machine Learning,23.37,24.17,5.23,23.87,Intermediate,1.03,Video,Visual,Beginner,18.37,37.0,6,1,11.36,13.32,80.02,Learn Fundamentals,Video,High
3828,Clustering,Machine Learning,19.16,63.74,49.15,49.5,None,8.99,Interactive Course,Mixed,Intermediate,42.7,52.06,6,1,34.36,31.99,61.46,Learn Fundamentals,Video,High
4584,Clustering,Machine Learning,0.0,2.66,9.45,25.58,Beginner,10.6,Interactive Course,Mixed,Intermediate,28.5,24.8,7,1,0.0,13.42,97.31,Learn Fundamentals,Video,High
2290,Decision Trees,Machine Learning,7.24,25.94,12.34,15.94,Beginner,9.25,Project,Hands-on,Advanced,20.64,22.92,5,1,18.75,5.93,86.13,Learn Fundamentals,Article,High
401,Classification,Machine Learning,24.2,39.65,50.17,42.52,Some Experience,13.5,Interactive Course,Hands-on,Adaptive,41.96,35.6,7,1,24.67,46.79,65.97,Learn Fundamentals,Article,High
848,Deployment,DevOps/Cloud,15.26,36.04,26.05,34.94,Some Experience,23.71,Interactive Course,Visual,Intermediate,34.81,20.94,5,1,1.46,7.77,76.35,Learn Fundamentals,Video,High
4462,Model Evaluation,Machine Learning,0.51,19.44,0.0,59.22,Beginner,1.38,Interactive Course,Mixed,Adaptive,15.84,26.95,6,1,0.0,13.66,93.91,Learn Fundamentals,Video,High
2749,Git/GitHub,Software Development,0.0,0.0,40.12,24.03,Some Experience,21.09,Project,Hands-on,Adaptive,33.63,29.96,5,1,10.63,26.89,91.98,Learn Fundamentals,Article,High
4556,REST APIs,Backend Development,27.53,36.42,56.92,12.79,None,6.16,Interactive Course,Mixed,Intermediate,24.45,40.3,4,1,23.05,34.88,63.93,Learn Fundamentals,Video,High
1236,Git/GitHub,Software Development,30.1,0.0,4.14,14.71,Beginner,16.33,Video,Visual,Advanced,0.0,7.06,4,1,3.27,19.65,84.12,Learn Fundamentals,Video,High
3438,Deployment,DevOps/Cloud,42.72,11.84,0.0,28.9,None,,Article,Reading,Advanced,37.72,44.02,3,1,31.5,34.37,75.09,Learn Fundamentals,Article,High
1592,Decision Trees,Machine Learning,32.01,59.22,14.6,,Beginner,4.37,Practice Questions,Visual,Beginner,26.93,39.55,3,1,27.13,15.45,63.31,Learn Fundamentals,Video,High
3385,Overfitting & Underfitting,Machine Learning,2.63,24.29,10.24,35.61,Beginner,3.1,Video,Mixed,Intermediate,19.67,12.54,5,1,0.0,22.46,89.35,Learn Fundamentals,Video,High
4493,ML Fundamentals,Machine Learning,9.04,46.71,69.98,14.48,Beginner,17.33,Project,Mixed,Adaptive,35.15,28.07,6,1,18.54,14.95,67.47,Learn Fundamentals,Video,High
737,Model Evaluation,Machine Learning,29.12,20.2,6.3,33.17,Beginner,14.39,Interactive Course,Visual,Adaptive,26.45,29.78,5,1,0.07,34.78,78.12,Learn Fundamentals,Video,High
2768,Logistic Regression,Machine Learning,4.64,12.21,0.0,28.02,Some Experience,3.4,Article,Hands-on,Adaptive,24.32,31.05,7,1,2.25,12.36,94.02,Learn Fundamentals,Article,High
3812,FastAPI,Backend Development,,8.7,2.14,35.5,Intermediate,8.87,Project,Mixed,Adaptive,26.63,37.11,6,1,11.13,24.49,90.84,Learn Fundamentals,Video,High
1446,Git/GitHub,Software Development,42.3,46.31,36.76,30.35,Beginner,2.45,Documentation,Visual,Advanced,5.9,26.93,5,1,34.67,28.83,57.61,Learn Fundamentals,Video,High
2564,FastAPI,Backend Development,7.26,19.84,23.53,18.99,Beginner,12.06,Practice Questions,Reading,Beginner,35.57,51.08,4,1,0.0,29.26,85.71,Learn Fundamentals,Article,High
4644,ML Fundamentals,Machine Learning,9.06,4.28,0.0,20.88,Beginner,2.91,Video,Visual,Adaptive,6.61,33.59,7,1,10.04,14.67,94.19,Learn Fundamentals,Video,High
239,EDA,Data Science,36.08,47.15,16.5,33.92,Some Experience,2.93,Project,Hands-on,Beginner,33.93,22.81,4,1,35.06,21.3,64.52,Learn Fundamentals,Article,High
1047,Clustering,Machine Learning,11.54,10.92,16.93,19.52,Beginner,3.53,Article,Reading,Adaptive,15.88,5.0,5,1,0.0,16.84,87.57,Learn Fundamentals,Article,High
2636,Linear Regression,Machine Learning,28.13,72.17,39.82,41.02,None,3.87,Project,Hands-on,Intermediate,21.41,45.37,5,1,43.01,26.03,56.32,Learn Fundamentals,Article,High
2602,Overfitting & Underfitting,Machine Learning,10.23,7.55,29.8,26.89,None,1.37,Video,Reading,Intermediate,0.0,35.62,6,1,17.91,20.32,86.66,Learn Fundamentals,Article,High
2608,Classification,Machine Learning,39.99,53.52,32.57,56.82,None,4.96,Video,Visual,Intermediate,20.23,34.35,3,1,35.59,30.04,57.44,Learn Fundamentals,Video,High
4822,Deployment,DevOps/Cloud,33.72,18.56,16.42,27.61,None,11.6,Practice Questions,Hands-on,Advanced,29.57,19.09,4,1,31.91,21.6,74.29,Learn Fundamentals,Article,High
4036,Deployment,DevOps/Cloud,6.6,13.12,32.9,41.98,Intermediate,2.59,Interactive Course,Mixed,Beginner,0.0,24.34,6,1,6.93,14.82,86.18,Learn Fundamentals,Video,High
642,Data Preprocessing,Machine Learning,29.5,10.92,17.4,36.21,Intermediate,7.37,Video,Hands-on,Advanced,39.45,34.36,6,1,23.47,27.77,78.49,Learn Fundamentals,Article,High
409,Clustering,Machine Learning,34.13,0.0,28.19,39.48,Intermediate,9.14,Project,Hands-on,Intermediate,20.81,44.5,5,1,3.24,38.09,77.3,Learn Fundamentals,Article,High
3366,Deployment,DevOps/Cloud,8.64,26.83,18.46,51.31,None,4.18,Interactive Course,Hands-on,Intermediate,6.66,27.15,7,1,26.08,30.75,83.94,Learn Fundamentals,Article,High
4086,EDA,Data Science,54.49,39.97,22.84,19.4,Beginner,6.87,Practice Questions,Reading,Advanced,21.39,22.52,3,1,25.41,12.16,56.19,Learn Fundamentals,Article,High
3712,JavaScript,Web Development,6.91,35.01,3.85,10.1,Some Experience,6.73,Project,Reading,Intermediate,35.41,25.95,5,1,0.0,27.83,85.27,Learn Fundamentals,Article,High
3234,ML Fundamentals,Machine Learning,38.64,53.75,24.76,50.72,Beginner,6.54,Practice Questions,Mixed,Adaptive,0.0,20.2,4,1,24.02,9.95,59.6,Learn Fundamentals,Video,High
943,EDA,Data Science,11.53,41.55,11.39,36.22,Beginner,9.45,Video,Reading,Intermediate,10.78,14.79,5,1,21.55,12.93,79.49,Learn Fundamentals,Article,High
2914,ML Fundamentals,Machine Learning,42.85,18.89,31.24,3.22,Some Experience,7.51,Interactive Course,Visual,Adaptive,,22.4,4,1,35.61,4.81,66.66,Learn Fundamentals,Video,High
2747,React,Web Development,46.79,33.15,40.46,45.98,Some Experience,7.25,Documentation,Hands-on,Beginner,36.92,44.87,2,1,14.39,38.05,58.57,Learn Fundamentals,Article,High
3339,React,Web Development,0.0,16.88,16.88,47.01,Beginner,9.37,Interactive Course,Mixed,Beginner,41.0,48.47,6,1,4.66,32.25,91.56,Learn Fundamentals,Video,High
418,Decision Trees,Machine Learning,35.07,35.32,37.28,50.57,Intermediate,1.03,Video,Visual,Beginner,24.98,24.47,5,1,19.27,17.94,64.41,Learn Fundamentals,Video,High
3394,EDA,Data Science,24.89,31.36,24.51,31.32,Beginner,5.76,Documentation,Hands-on,Adaptive,0.0,28.14,5,1,13.26,8.6,73.25,Learn Fundamentals,Article,High
1257,REST APIs,Backend Development,12.38,20.57,2.36,40.96,None,2.52,Interactive Course,Reading,Adaptive,20.25,29.29,5,1,47.41,22.92,87.17,Learn Fundamentals,Article,High
3653,HTML/CSS,Web Development,0.0,40.37,41.9,16.67,None,7.46,Practice Questions,Hands-on,Adaptive,34.17,22.04,5,1,23.34,6.25,79.51,Learn Fundamentals,Article,High
280,Overfitting & Underfitting,Machine Learning,4.33,41.41,33.33,34.86,Beginner,5.64,Video,Visual,Adaptive,14.34,21.21,8,1,33.9,20.16,78.75,Learn Fundamentals,Video,High
4367,Classification,Machine Learning,31.7,40.72,19.42,19.86,Advanced,3.1,Article,Reading,Beginner,19.52,30.64,3,1,22.42,26.64,68.05,Learn Fundamentals,Article,High
4997,HTML/CSS,Web Development,10.14,25.9,31.81,0.0,Some Experience,6.46,Documentation,Hands-on,Adaptive,26.18,26.43,5,1,0.26,33.0,80.8,Learn Fundamentals,Article,High
4939,Decision Trees,Machine Learning,35.09,70.29,47.56,34.1,Intermediate,3.85,Interactive Course,Mixed,Adaptive,26.06,44.04,4,1,34.18,18.71,51.86,Learn Fundamentals,Video,High
4795,Linear Regression,Machine Learning,32.17,37.38,42.88,1.94,Some Experience,12.01,Interactive Course,Hands-on,Intermediate,44.74,20.28,6,1,25.73,5.32,64.13,Learn Fundamentals,Article,High
2052,Decision Trees,Machine Learning,0.0,0.0,38.13,15.85,None,1.83,Project,Reading,Adaptive,21.18,46.07,7,1,3.02,28.07,92.37,Learn Fundamentals,Article,High
2923,HTML/CSS,Web Development,26.82,13.21,40.8,1.59,Beginner,2.31,Interactive Course,Hands-on,Advanced,15.23,25.58,4,1,1.75,12.25,74.46,Learn Fundamentals,Article,High
3985,Model Evaluation,Machine Learning,8.75,32.35,27.97,35.09,None,2.75,Documentation,Visual,Beginner,23.95,42.18,5,1,48.28,16.91,80.32,Learn Fundamentals,Video,High
3477,React,Web Development,2.14,0.0,5.09,35.5,Intermediate,9.06,Article,Reading,Beginner,27.24,19.91,5,1,9.79,18.85,97.91,Learn Fundamentals,Article,High
1892,JavaScript,Web Development,44.55,30.25,78.32,59.41,None,15.94,Video,Mixed,Advanced,26.81,24.62,5,1,49.12,13.53,52.99,Study Core Material,Interactive Course,Medium
1399,HTML/CSS,Web Development,55.8,73.95,33.92,34.18,None,2.26,Practice Questions,Mixed,Beginner,20.58,40.77,4,0,49.28,15.92,43.13,Revision,Interactive Course,Medium
464,Linear Regression,Machine Learning,11.61,1.55,30.89,,Intermediate,5.82,Practice Questions,Hands-on,Intermediate,20.09,32.44,5,1,34.59,30.68,87.55,Learn Fundamentals,Article,High
3022,Classification,Machine Learning,28.25,21.5,43.75,34.91,Intermediate,7.39,Video,Visual,Adaptive,37.41,13.57,5,1,21.02,22.54,70.67,Learn Fundamentals,Video,High
2796,React,Web Development,46.96,12.56,23.76,26.24,Beginner,10.13,Project,Mixed,Advanced,26.55,19.99,3,1,14.79,44.32,68.0,Learn Fundamentals,Video,High
970,React,Web Development,27.51,55.54,68.48,11.43,Advanced,3.94,Interactive Course,Visual,Adaptive,32.66,43.62,4,1,42.56,31.28,55.88,Learn Fundamentals,Video,High
4204,FastAPI,Backend Development,5.61,56.4,30.72,57.69,Beginner,8.75,Interactive Course,Mixed,Adaptive,20.38,39.38,6,1,5.78,39.14,74.13,Learn Fundamentals,Video,High
3102,Decision Trees,Machine Learning,46.84,62.21,22.27,30.1,None,7.39,Video,Hands-on,Intermediate,44.04,43.44,5,1,43.99,27.02,53.46,Revision,Interactive Course,Medium
1295,Deployment,DevOps/Cloud,35.96,43.72,46.51,24.53,Some Experience,4.87,Interactive Course,Mixed,Beginner,21.27,49.22,6,1,46.09,25.8,59.6,Learn Fundamentals,Video,High
3864,Classification,Machine Learning,42.0,28.53,18.15,28.04,None,4.32,Interactive Course,Visual,Beginner,0.0,39.84,6,1,45.46,17.71,66.81,Revision,Practice Questions,Medium
3061,Clustering,Machine Learning,0.0,22.06,19.96,29.98,Advanced,11.17,Article,Mixed,Advanced,39.22,43.61,6,1,15.02,21.34,89.39,Learn Fundamentals,Video,High
1872,Classification,Machine Learning,0.0,12.99,42.59,26.64,Beginner,1.0,Article,Hands-on,Advanced,6.17,37.65,5,1,29.81,33.58,87.59,Learn Fundamentals,Article,High
1097,SQL/Databases,Backend Development,31.99,51.58,67.04,28.16,Beginner,10.81,Practice Questions,Mixed,Adaptive,28.23,35.84,4,1,41.36,21.52,55.12,Learn Fundamentals,Video,High
4494,Git/GitHub,Software Development,80.07,68.74,69.77,35.59,Beginner,12.61,Interactive Course,Hands-on,Beginner,28.55,48.04,2,0,72.4,25.16,25.39,Practice,Project,Medium
